t_ms,red,ir,stm_glucose,stm_status,stm_sqi
0,79242,110032,,,
10,79204,110012,,,
20,79200,109994,,,
30,79183,109954,,,
40,79166,109949,,,
50,79135,109904,,,
60,79124,109906,,,
70,79130,109910,,,
80,79127,109923,,,
90,79138,109889,,,
100,79136,109926,,,
110,79135,109905,,,
120,79137,109905,,,
130,79133,109930,,,
140,79121,109942,,,
150,79129,109908,,,
160,79143,109921,,,
170,79135,109937,,,
180,79135,109937,,,
190,79114,109899,,,
200,79135,109883,,,
210,79105,109875,,,
220,79068,109827,,,
230,79044,109809,,,
240,79024,109792,,,
250,79035,109744,,,
260,78946,109707,,,
270,78926,109641,,,
280,78936,109635,,,
290,78902,109610,,,
300,78851,109601,,,
310,78871,109545,,,
320,78840,109554,,,
330,78821,109521,,,
340,78845,109545,,,
350,78851,109568,,,
360,78888,109623,,,
370,78979,109711,,,
380,79023,109794,,,
390,79129,109920,,,
400,79237,110068,,,
410,79353,110201,,,
420,79504,110369,,,
430,79639,110564,,,
440,79781,110743,,,
450,79940,110903,,,
460,80056,111065,,,
470,80131,111166,,,
480,80237,111275,,,
490,80259,111314,,,
500,80313,111356,,,
510,80295,111338,,,
520,80257,111291,,,
530,80215,111248,,,
540,80155,111182,,,
550,80061,111110,,,
560,80008,111011,,,
570,79908,110921,,,
580,79860,110836,,,
590,79794,110746,,,
600,79747,110687,,,
610,79698,110625,,,
620,79649,110548,,,
630,79604,110468,,,
640,79523,110435,,,
650,79488,110367,,,
660,79416,110257,,,
670,79357,110183,,,
680,79251,110077,,,
690,79191,109973,,,
700,79083,109845,,,
710,79000,109753,,,
720,78917,109611,,,
730,78836,109513,,,
740,78733,109423,,,
750,78674,109350,,,
760,78629,109283,,,
770,78564,109199,,,
780,78521,109159,,,
790,78487,109127,,,
800,78506,109107,,,
810,78455,109077,,,
820,78453,109100,,,
830,78489,109082,,,
840,78501,109113,,,
850,78524,109155,,,
860,78562,109196,,,
870,78593,109232,,,
880,78651,109335,,,
890,78721,109410,,,
900,78756,109471,,,
910,78843,109558,,,
920,78943,109664,,,
930,78993,109736,,,
940,79074,109855,,,
950,79160,109942,,,
960,79223,110017,,,
970,79292,110126,,,
980,79363,110197,,,
990,79410,110260,,,
1000,79210,110031,,,
1010,79211,110017,,,
1020,79202,109992,,,
1030,79179,109977,,,
1040,79142,109957,,,
1050,79160,109943,,,
1060,79103,109926,,,
1070,79122,109898,,,
1080,79116,109915,,,
1090,79128,109884,,,
1100,79125,109913,,,
1110,79131,109905,,,
1120,79127,109923,,,
1130,79133,109905,,,
1140,79117,109932,,,
1150,79120,109930,,,
1160,79133,109924,,,
1170,79152,109931,,,
1180,79134,109912,,,
1190,79120,109912,,,
1200,79115,109911,,,
1210,79084,109893,,,
1220,79061,109854,,,
1230,79053,109815,,,
1240,79021,109773,,,
1250,78994,109748,,,
1260,78967,109703,,,
1270,78941,109696,,,
1280,78917,109637,,,
1290,78883,109608,,,
1300,78867,109590,,,
1310,78847,109543,,,
1320,78817,109533,,,
1330,78836,109512,,,
1340,78820,109539,,,
1350,78865,109542,,,
1360,78885,109623,,,
1370,78928,109699,,,
1380,79014,109795,,,
1390,79159,109909,,,
1400,79232,110040,,,
1410,79375,110217,,,
1420,79520,110372,,,
1430,79683,110575,,,
1440,79780,110767,,,
1450,79930,110905,,,
1460,80040,111056,,,
1470,80144,111189,,,
1480,80211,111267,,,
1490,80251,111336,,,
1500,80306,111358,,,
1510,80281,111346,,,
1520,80244,111326,,,
1530,80212,111272,,,
1540,80169,111174,,,
1550,80098,111082,,,
1560,80005,110996,,,
1570,79931,110896,,,
1580,79852,110812,,,
1590,79799,110760,,,
1600,79731,110691,,,
1610,79711,110612,,,
1620,79633,110562,,,
1630,79590,110512,,,
1640,79528,110425,,,
1650,79488,110378,,,
1660,79400,110281,,,
1670,79334,110186,,,
1680,79269,110088,,,
1690,79181,109977,,,
1700,79100,109842,,,
1710,79016,109751,,,
1720,78900,109645,,,
1730,78834,109540,,,
1740,78746,109426,,,
1750,78694,109355,,,
1760,78611,109270,,,
1770,78581,109224,,,
1780,78540,109163,,,
1790,78484,109106,,,
1800,78481,109098,,,
1810,78469,109072,,,
1820,78453,109096,,,
1830,78460,109115,,,
1840,78491,109123,,,
1850,78492,109164,,,
1860,78558,109197,,,
1870,78608,109257,,,
1880,78663,109300,,,
1890,78702,109401,,,
1900,78788,109479,,,
1910,78828,109541,,,
1920,78940,109662,,,
1930,79022,109753,,,
1940,79066,109867,,,
1950,79162,109914,,,
1960,79216,110027,,,
1970,79305,110137,,,
1980,79346,110208,,,
1990,79391,110256,,,
2000,79246,110032,,,
2010,79224,110023,,,
2020,79204,110005,,,
2030,79172,109985,,,
2040,79165,109955,,,
2050,79147,109934,,,
2060,79122,109923,,,
2070,79109,109917,,,
2080,79122,109921,,,
2090,79128,109922,,,
2100,79144,109913,,,
2110,79144,109913,,,
2120,79124,109920,,,
2130,79133,109902,,,
2140,79129,109927,,,
2150,79132,109923,,,
2160,79138,109924,,,
2170,79160,109931,,,
2180,79154,109916,,,
2190,79143,109923,,,
2200,79123,109905,,,
2210,79114,109880,,,
2220,79064,109845,,,
2230,79058,109828,,,
2240,79033,109789,,,
2250,78983,109751,,,
2260,78950,109698,,,
2270,78948,109692,,,
2280,78907,109654,,,
2290,78889,109622,,,
2300,78850,109577,,,
2310,78844,109570,,,
2320,78823,109522,,,
2330,78814,109535,,,
2340,78829,109542,,,
2350,78879,109548,,,
2360,78895,109630,,,
2370,78944,109681,,,
2380,79030,109790,,,
2390,79122,109934,,,
2400,79243,110060,,,
2410,79354,110209,,,
2420,79482,110375,,,
2430,79655,110543,,,
2440,79798,110719,,,
2450,79912,110911,,,
2460,80042,111052,,,
2470,80163,111172,,,
2480,80202,111280,,,
2490,80248,111327,,,
2500,80293,111340,,,
2510,80257,111341,,,
2520,80247,111332,,,
2530,80193,111278,,,
2540,80141,111195,,,
2550,80072,111082,,,
2560,80020,111018,,,
2570,79935,110907,,,
2580,79867,110819,,,
2590,79810,110774,,,
2600,79739,110688,,,
2610,79690,110623,,,
2620,79632,110575,,,
2630,79604,110522,,,
2640,79559,110446,,,
2650,79476,110354,,,
2660,79423,110294,,,
2670,79341,110187,,,
2680,79248,110071,,,
2690,79165,109962,,,
2700,79070,109849,,,
2710,79006,109727,,,
2720,78893,109625,,,
2730,78823,109518,,,
2740,78756,109461,,,
2750,78688,109362,,,
2760,78625,109291,,,
2770,78549,109216,,,
2780,78525,109161,,,
2790,78491,109117,,,
2800,78458,109090,,,
2810,78454,109082,,,
2820,78475,109061,,,
2830,78461,109108,,,
2840,78495,109103,,,
2850,78546,109149,,,
2860,78545,109210,,,
2870,78624,109243,,,
2880,78640,109301,,,
2890,78711,109379,,,
2900,78799,109475,,,
2910,78844,109557,,,
2920,78925,109669,,,
2930,78981,109738,,,
2940,79086,109829,,,
2950,79159,109933,,,
2960,79212,110049,,,
